pos_neraca,sumber_pos_neraca,penjelasan_pos_neraca,tanggal,catatan,nilai
"Aset","Aset Lancar","Kas di Kas Daerah","31 Desember 2008","5.1.4.1.1",4.506e+12
"Aset","Aset Lancar","Kas di Bendahara Pengeluaran","31 Desember 2008","5.1.4.1.2",2.801e+10
"Aset","Aset Lancar","Kas di Bendahara Penerimaan","31 Desember 2008","5.1.4.1.3",1.796e+11
"Aset","Aset Lancar","Piutang Pajak","31 Desember 2008","5.1.4.1.4",1.083e+11
"Aset","Aset Lancar","Piutang Retribusi","31 Desember 2008","5.1.4.1.5",8.713e+09
"Aset","Aset Lancar","Piutang Dana Bagi Hasil/Perimbangan","31 Desember 2008","5.1.4.1.6",1.209e+09
"Aset","Aset Lancar","Bagian Lancar Piutang Tuntutan Ganti Rugi","31 Desember 2008","5.1.4.1.7",9.426e+09
"Aset","Aset Lancar","Bagian Lancar Piutang Kerjasama/Pemanfaatan  Aset","31 Desember 2008","5.1.4.1.8",8.212e+10
"Aset","Aset Lancar","Piutang Tagihan Aset Kredit Ex BPPN","31 Desember 2008","5.1.4.1.9",9.894e+10
"Aset","Aset Lancar","Piutang PMP ke PT KBN di Bank DKI","31 Desember 2008","5.1.4.1.10",0
"Aset","Aset Lancar","Piutang Lainnya","31 Desember 2008","5.1.4.1.11",5.231e+10
"Aset","Aset Lancar","Persediaan","31 Desember 2008","5.1.4.1.12",3.210e+11
"Aset","Investasi Jangka Panjang","Investasi Non Permanen","31 Desember 2008","5.1.4.2.1",6.444e+11
"Aset","Investasi Jangka Panjang","Investasi Permanen","31 Desember 2008","5.1.4.2.2",3.566e+12
"Aset","Aset tetap","Tanah","31 Desember 2008","5.1.4.3",3.251e+14
"Aset","Aset tetap","Peralatan dan Mesin","31 Desember 2008","5.1.4.3",5.251e+12
"Aset","Aset tetap","Gedung dan Bangunan","31 Desember 2008","5.1.4.3",1.058e+13
"Aset","Aset tetap","Jalan, Irigasi, dan Jaringan","31 Desember 2008","5.1.4.3",2.050e+13
"Aset","Aset tetap","Aset Tetap Lainnya","31 Desember 2008","5.1.4.3",7.363e+11
"Aset","Aset tetap","Konstruksi Dalam Pengerjaan","31 Desember 2008","5.1.4.3",1.395e+12
"Aset","Dana Cadangan","Dana Cadangan","31 Desember 2008","5.1.4.4",6.197e+11
"Aset","Aset Lainnya","Tagihan Penjualan Angsuran","31 Desember 2008","5.1.4.5.1",4.562e+10
"Aset","Aset Lainnya","Tagihan Tuntutan Ganti Kerugian Daerah","31 Desember 2008","5.1.4.5.2",3.741e+09
"Aset","Aset Lainnya","Kemitraan dengan Pihak Ketiga","31 Desember 2008","5.1.4.5.3",4.170e+11
"Aset","Aset Lainnya","Aset di BP THR Lokasari","31 Desember 2008","5.1.4.5.4",1.366e+10
"Aset","Aset Lainnya","Aset lain-lain","31 Desember 2008","5.1.4.5.5",1.032e+13
"Kewajiban","Kewajiban Jangka Pendek","Utang PFK","31 Desember 2008","5.1.5.1.1 - 2",8.278e+10
"Kewajiban","Kewajiban Jangka Pendek","Bagian Lancar Utang Jangka Panjang - Bunga","31 Desember 2008","5.1.5.1.3",3.572e+09
"Kewajiban","Kewajiban Jangka Pendek","Bagian Lancar Utang Jangka Panjang - Pokok","31 Desember 2008","5.1.5.1.4",2.470e+10
"Kewajiban","Kewajiban Jangka Pendek","Pendapatan diterima di Muka","31 Desember 2008","5.1.5.1.5",3.736e+09
"Kewajiban","Kewajiban Jangka Pendek","Utang Jangka Pendek Lainnya","31 Desember 2008","5.1.5.1.6 - 11",1.143e+11
"Kewajiban","Kewajiban Jangka Panjang","Utang Dalam Negeri - Pemerintah Pusat","31 Desember 2008","5.1.5.2.1",6.537e+10
"Kewajiban","Kewajiban Jangka Panjang","Utang Jangka Panjang Lainnya","31 Desember 2008","5.1.5.2.2",6.054e+09
"Ekuitas Dana","Ekuitas Dana Lancar","Sisa Lebih Pembiayaan Anggaran ( SiLPA)","31 Desember 2008","5.1.6.1",4.446e+12
"Ekuitas Dana","Ekuitas Dana Lancar","Pendapatan yang Ditangguhkan","31 Desember 2008","5.1.6.1",1.796e+11
"Ekuitas Dana","Ekuitas Dana Lancar","Cadangan Piutang","31 Desember 2008","5.1.6.1",3.610e+11
"Ekuitas Dana","Ekuitas Dana Lancar","Cadangan Persediaan","31 Desember 2008","5.1.6.1",3.210e+11
"Ekuitas Dana","Ekuitas Dana Lancar","Dana yang Harus Disediakan untuk Pembayaran Utang Jangka Pendek","31 Desember 2008","5.1.6.1",-1.411e+11
"Ekuitas Dana","Ekuitas Dana Investasi","Diinvestasikan dalam Investasi Jangka Panjang","31 Desember 2008","5.1.6.2",4.210e+12
"Ekuitas Dana","Ekuitas Dana Investasi","Diinvestasikan dalam Aset Tetap","31 Desember 2008","5.1.6.2",3.636e+14
"Ekuitas Dana","Ekuitas Dana Investasi","Diinvestasikan dalam Aset Lainnya","31 Desember 2008","5.1.6.2",1.080e+13
"Ekuitas Dana","Ekuitas Dana Investasi","Dana yang Harus Disediakan untuk Pembayaran Utang Jangka Panjang","31 Desember 2008","5.1.6.2",-7.142e+10
"Ekuitas Dana","Ekuitas Dana Cadangan","Diinvestasikan dalam Dana Cadangan","31 Desember 2008","5.1.6.2",6.197e+11
