tahun,klasifikasi_industri,jenis_biaya,jumlah_biaya
2011,Makanan,Bahan Baku,14133420368
2011,Minuman,Bahan Baku,246531491
2011,Tekstil,Bahan Baku,808704360
2011,Pakaian Jadi,Bahan Baku,4068547843
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Bahan Baku,307572933
2011,"Kayu, Barang dari Kayu dan Gabus",Bahan Baku,154938482
2011,Kertas dan Barang dari Kertas,Bahan Baku,354419087
2011,Percetakan dan Reproduksi Media Rekaman,Bahan Baku,4205391277
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Bahan Baku,7118755952
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Bahan Baku,2706840159
2011,"Karet, Barang dari Karet dan Plastik",Bahan Baku,1752191579
2011,Barang Galian Bukan Logam,Bahan Baku,478162453
2011,Logam Dasar,Bahan Baku,3831183474
2011,Barang Logam Bukan Mesin dan Peralatannya,Bahan Baku,6041371788
2011,"Komputer, Barang Elektronik dan Optik",Bahan Baku,869292127
2011,Peralatan Listrik,Bahan Baku,4915439818
2011,Mesin dan Perlengkapan ytdi,Bahan Baku,472479887
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Bahan Baku,39169027907
2011,Alat Angkutan Lainnya,Bahan Baku,4308679906
2011,Furnitur,Bahan Baku,334964225
2011,Pengolahan Lainnya,Bahan Baku,1304847461
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Bahan Baku,46574002
2011,Makanan,Tenaga Listrik,634025539
2011,Minuman,Tenaga Listrik,10699231
2011,Tekstil,Tenaga Listrik,120022871
2011,Pakaian Jadi,Tenaga Listrik,181139115
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Tenaga Listrik,18161062
2011,"Kayu, Barang dari Kayu dan Gabus",Tenaga Listrik,7307236
2011,Kertas dan Barang dari Kertas,Tenaga Listrik,15752296
2011,Percetakan dan Reproduksi Media Rekaman,Tenaga Listrik,524811820
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Tenaga Listrik,313382389
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Tenaga Listrik,330115272
2011,"Karet, Barang dari Karet dan Plastik",Tenaga Listrik,194732672
2011,Barang Galian Bukan Logam,Tenaga Listrik,13718036
2011,Logam Dasar,Tenaga Listrik,158104198
2011,Barang Logam Bukan Mesin dan Peralatannya,Tenaga Listrik,341710039
2011,"Komputer, Barang Elektronik dan Optik",Tenaga Listrik,24705393
2011,Peralatan Listrik,Tenaga Listrik,148324376
2011,Mesin dan Perlengkapan ytdi,Tenaga Listrik,374866457
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Tenaga Listrik,1584947291
2011,Alat Angkutan Lainnya,Tenaga Listrik,85873086
2011,Furnitur,Tenaga Listrik,14746457
2011,Pengolahan Lainnya,Tenaga Listrik,32640166
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Tenaga Listrik,3577487
2011,Makanan,Bahan Bakar,259797778
2011,Minuman,Bahan Bakar,10932390
2011,Tekstil,Bahan Bakar,67263017
2011,Pakaian Jadi,Bahan Bakar,182916120
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Bahan Bakar,5451930
2011,"Kayu, Barang dari Kayu dan Gabus",Bahan Bakar,5441346
2011,Kertas dan Barang dari Kertas,Bahan Bakar,7555522
2011,Percetakan dan Reproduksi Media Rekaman,Bahan Bakar,188117140
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Bahan Bakar,274799320
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Bahan Bakar,180261806
2011,"Karet, Barang dari Karet dan Plastik",Bahan Bakar,125086204
2011,Barang Galian Bukan Logam,Bahan Bakar,21675740
2011,Logam Dasar,Bahan Bakar,90218467
2011,Barang Logam Bukan Mesin dan Peralatannya,Bahan Bakar,77768140
2011,"Komputer, Barang Elektronik dan Optik",Bahan Bakar,6617351
2011,Peralatan Listrik,Bahan Bakar,53465308
2011,Mesin dan Perlengkapan ytdi,Bahan Bakar,27241575
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Bahan Bakar,500776173
2011,Alat Angkutan Lainnya,Bahan Bakar,65744004
2011,Furnitur,Bahan Bakar,4050363
2011,Pengolahan Lainnya,Bahan Bakar,6791392
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Bahan Bakar,969859
2011,Makanan,Sewa Gedung,14263529
2011,Minuman,Sewa Gedung,141578
2011,Tekstil,Sewa Gedung,15918140
2011,Pakaian Jadi,Sewa Gedung,64467652
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Sewa Gedung,2931914
2011,"Kayu, Barang dari Kayu dan Gabus",Sewa Gedung,777817
