tahun,nama_kabkota,ruang_lingkup,jumlah
2012,Jakarta Selatan,Regional,
2012,Jakarta Selatan,Kota,8
2012,Jakarta Selatan,Wilayah,5
2012,Jakarta Selatan,Lingkungan,14
2012,Jakarta Timur,Regional,2
2012,Jakarta Timur,Kota,2
2012,Jakarta Timur,Wilayah,13
2012,Jakarta Timur,Lingkungan,16
2012,Jakarta Pusat,Regional,2
2012,Jakarta Pusat,Kota,6
2012,Jakarta Pusat,Wilayah,10
2012,Jakarta Pusat,Lingkungan,21
2012,Jakarta Barat,Regional,
2012,Jakarta Barat,Kota,6
2012,Jakarta Barat,Wilayah,5
2012,Jakarta Barat,Lingkungan,15
2012,Jakarta Utara,Regional,
2012,Jakarta Utara,Kota,1
2012,Jakarta Utara,Wilayah,7
2012,Jakarta Utara,Lingkungan,17
