tahun,nama_kabkota,sifat_kegiatan,jumlah
2012,Jakarta Selatan,Grosir,1
2012,Jakarta Selatan,Khusus,
2012,Jakarta Selatan,Induk,
2012,Jakarta Selatan,Eceran,26
2012,Jakarta Timur,Grosir,1
2012,Jakarta Timur,Khusus,
2012,Jakarta Timur,Induk,1
2012,Jakarta Timur,Eceran,31
2012,Jakarta Pusat,Grosir,1
2012,Jakarta Pusat,Khusus,
2012,Jakarta Pusat,Induk,
2012,Jakarta Pusat,Eceran,38
2012,Jakarta Barat,Grosir,2
2012,Jakarta Barat,Khusus,1
2012,Jakarta Barat,Induk,
2012,Jakarta Barat,Eceran,23
2012,Jakarta Utara,Grosir,
2012,Jakarta Utara,Khusus,
2012,Jakarta Utara,Induk,
2012,Jakarta Utara,Eceran,25
