tahun,nama_kabkota,nama_situ_rawa,luas_area_rencana,luas_area_realisasi,nama_sungai
2012,Kota Jakarta Selatan,Lebak Bulus,3.33,1.05,Kali Grogol
2012,Kota Jakarta Selatan,Situ Babakan,32,26,Kali Krukut
2012,Kota Jakarta Selatan,Situ Mangga Belong,12,10.5,Kali Krukut
2012,Kota Jakarta Selatan,Situ Pancoran,2,2,Kali Krukut
2012,Kota Jakarta Selatan,Situ Rawa Lindung,5,-,-
2012,Kota Jakarta Selatan,Situ Ulujami,8,0.8,Kali Pesanggrahan
2012,Kota Jakarta Selatan,Situ TMP Kalibata,0.5,0.5,Kali Krukut
2012,Kota Jakarta Selatan,Situ UI,-,7,-
2012,Kota Jakarta Selatan,Waduk Bintaro Kec Bintaro,2,-,Kali Pesanggrahan
2012,Kota Jakarta Selatan,Waduk Bintaro Kec Pdk Pinang,4,3,Kali Pesanggrahan
2012,Kota Jakarta Selatan,Waduk Bonbin Ragunan,10,10,Kali Krukut
2012,Kota Jakarta Selatan,Waduk Brigif,12,8.89,Kali Krukut
2012,Kota Jakarta Selatan,Waduk Ragunan 1,11,11,Kali Krukut
2012,Kota Jakarta Selatan,Waduk Ragunan 2,4.5,4.5,Kali Krukut
2012,Kota Jakarta Selatan,Waduk Setiabudi,-,4,-
2012,Kota Jakarta Selatan,Waduk Sigura-gura,-,1,-
2012,Kota Jakarta Timur,Jambore Cibubur (Baru),-,8,Kali Cipinang
2012,Kota Jakarta Timur,Situ Ceger Bambu Apus,-,2.1,Kali Cipinang
2012,Kota Jakarta Timur,Situ Rawa Badung,5,3,-
2012,Kota Jakarta Timur,Situ Rawa Dongkell,12,12,-
2012,Kota Jakarta Timur,Situ Rawa Gelam,3,3,Kali Sunter
2012,Kota Jakarta Timur,Situ Rawa Kelapa Dua Wetan,10,4.5,Kali Cipinang
2012,Kota Jakarta Timur,Situ Rawa Rorotan,50,25,-
2012,Kota Jakarta Timur,Situ Rawa TMII,3,3,Kali Cipinang
2012,Kota Jakarta Timur,Waduk Aneka Elok,3.8,2,-
2012,Kota Jakarta Timur,Waduk Cilangkap,13,13,Kali Sunter
2012,Kota Jakarta Timur,Waduk Cimanggis,4.5,1.4,Kali Cipinang
2012,Kota Jakarta Timur,Waduk Cipayung,34.75,34.63,Kali Sunter
2012,Kota Jakarta Timur,Waduk Halim I,7,7,Kali Sunter
2012,Kota Jakarta Timur,Waduk Halim II,12,12,Kali Sunter
2012,Kota Jakarta Timur,Waduk Halim III,16,-,Kali Sunter
2012,Kota Jakarta Timur,Waduk Halim IV,19,-,Kali Sunter
2012,Kota Jakarta Timur,Waduk Halim V,11,-,Kali Sunter
2012,Kota Jakarta Timur,Waduk Halim VI,9,-,Kali Sunter
2012,Kota Jakarta Timur,Waduk Kp. Rambutan,-,0.16,-
2012,Kota Jakarta Timur,Waduk Kp. Dukuh,2.97,-,Kali Cipinang
2012,Kota Jakarta Timur,Waduk Munjul,5,4.75,Kali Sunter
2012,Kota Jakarta Timur,Waduk Pacuan Kuda Pulo Mas,-,3.1,Kali Sunter
2012,Kota Jakarta Timur,Waduk Pondok Rangon I,11.45,9.98,Kali Sunter
2012,Kota Jakarta Timur,Waduk Pondok Rangon II,2,1.2,Kali Sunter
2012,Kota Jakarta Timur,Waduk Pondok Rangon III,6,-,Kali Sunter
2012,Kota Jakarta Timur,Waduk Rio Rio,-,9,Kali Sunter
2012,Kota Jakarta Timur,Waduk RW 05 Ceger,11.6,-,Kali Cipinang
2012,Kota Jakarta Timur,Waduk Sunter Hulu,12,5,Kali Sunter
2012,Kota Jakarta Timur,Waduk Pondok Rangon III Surilang,2,-,-
2012,Kota Jakarta Timur,Waduk Taman Modern,-,3.1,-
2012,Kota Jakarta Pusat,Situ Lembang,1,1,-
2012,Kota Jakarta Pusat,Waduk Melati,3.5,3.5,-
2012,Kota Jakarta Pusat,Waduk Taman Ria Senayan,6,6,-
2012,Kota Jakarta Barat,Waduk Cengkareng,2,2,-
2012,Kota Jakarta Barat,Waduk Grogol,2,2,-
2012,Kota Jakarta Barat,Waduk Hankam,0.5,0.5,-
2012,Kota Jakarta Barat,Waduk Jelambar,1.5,1.5,-
2012,Kota Jakarta Barat,Waduk Kali Deres,2,2,-
2012,Kota Jakarta Barat,Waduk Makam Tegal Alur,10,-,-
2012,Kota Jakarta Barat,Waduk Meruya,0.92,-,-
2012,Kota Jakarta Barat,Waduk Rawa Kelapa,0.5,0.5,-
2012,Kota Jakarta Barat,Waduk Semanan,12.6,-,-
2012,Kota Jakarta Barat,Waduk Tomang,6,6,-
2012,Kota Jakarta Barat,Waduk Wijaya Kusuma,-,1.5,-
2012,Kota Jakarta Barat,Waduk Yonhub,0.55,-,-
2012,Kota Jakarta Utara,Situ Rawa Kendal,27.5,10,-
2012,Kota Jakarta Utara,Waduk Don Bosco,2,2,-
2012,Kota Jakarta Utara,Waduk Kemayoran,11.3,11.3,-
2012,Kota Jakarta Utara,Waduk Marunda,56,31.2,-
2012,Kota Jakarta Utara,Waduk Muara Angke,0.5,0.5,-
2012,Kota Jakarta Utara,Waduk Pegangsaan Dua,2.1,2.1,-
2012,Kota Jakarta Utara,Waduk Pluit,80,80,-
2012,Kota Jakarta Utara,Waduk Sunter Selatan,43,38,-
2012,Kota Jakarta Utara,Waduk Sunter Timur 1 A,7,7,Kali Sunter
2012,Kota Jakarta Utara,Waduk Sunter Timur 1 B,8,8,Kali Sunter
2012,Kota Jakarta Utara,Waduk Sunter Timur 2,25,-,Kali Sunter
2012,Kota Jakarta Utara,Waduk Sunter Timur 3,13,13,Kali Sunter
2012,Kota Jakarta Utara,Waduk Sunter Utara,32,32,-
2012,Kota Jakarta Utara,Waduk Teluk Gong,2,2,-
2012,Kota Jakarta Utara,Waduk Tol Soedyatmo,28,-,-
